Nome: MACEIO;;;
Codigo Estacao: A303;;;
Latitude: -9.55111111;;;
Longitude: -35.77027777;;;
Altitude: 84.12;;;
Situacao: Operante;;;
Data Inicial: 2025-01-01;;;
Data Final: 2025-02-24;;;
Periodicidade da Medicao: Diaria;;;
;;;
Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C)
01/01/2025;0;31,4;23,5
02/01/2025;0;31;23
03/01/2025;0;32;23,1
04/01/2025;0;33,6;23
05/01/2025;0;32,8;24,6
06/01/2025;0;31,5;25,7
07/01/2025;0;31,7;23,4
08/01/2025;0;32,9;23
09/01/2025;0;33;23,5
10/01/2025;0;33,3;24,7
11/01/2025;0,2;33;25,3
12/01/2025;2,6;30,8;23,6
13/01/2025;2,4;32,5;23,5
14/01/2025;0;31,1;24,5
15/01/2025;16,8;32,4;23,7
16/01/2025;0;31,8;23,1
17/01/2025;0;31,5;23,2
18/01/2025;0;31,5;23,7
19/01/2025;0;31,5;24
20/01/2025;0;33;23,3
21/01/2025;0;33,7;24,6
22/01/2025;5;31,3;24,7
23/01/2025;0,8;31,6;23,2
24/01/2025;0;31,4;23
25/01/2025;2,2;30,8;23,9
26/01/2025;21,2;29,8;24,1
27/01/2025;0,2;30,6;24,1
28/01/2025;1;31,3;23,9
29/01/2025;9,8;31,1;23,5
30/01/2025;0;31,5;24
31/01/2025;0;31,7;22,8
01/02/2025;0;30,8;22,8
02/02/2025;1,8;32,4;22,9
03/02/2025;3,6;31,5;23,9
04/02/2025;0,2;31,6;25,4
05/02/2025;34,6;27,1;23,1
06/02/2025;25,8;27,7;23,5
07/02/2025;3;29,9;22,5
08/02/2025;0,6;31,3;22,3
09/02/2025;2;31,4;23,3
10/02/2025;4,2;31,5;24,1
11/02/2025;2,6;31,1;23,7
12/02/2025;0,8;31,5;23,7
13/02/2025;0;31,1;22,7
14/02/2025;0;32;22,6
15/02/2025;0,2;31,5;22,7
16/02/2025;10,2;30,9;23,6
17/02/2025;3,2;31,1;23,7
18/02/2025;0;31,3;23,4
19/02/2025;0;30,9;23,7
20/02/2025;6,8;31,9;23,3
21/02/2025;0,2;31,5;23,7
22/02/2025;0,2;31,3;23,4
23/02/2025;8,8;31,5;24
24/02/2025;4;null;23,4
